,userID,latitude,longitude,Upayment,Rcuisine,budget,dress_preference,transport
0,U1001,22.139997,-100.978803,cash,American,medium,informal,on foot
1,U1002,22.150087,-100.983325,cash,Mexican,low,informal,public
2,U1003,22.119847,-100.946527,cash,Mexican,low,formal,public
3,U1004,18.867,-99.183,cash,Bakery,medium,informal,public
4,U1004,18.867,-99.183,cash,Breakfast-Brunch,medium,informal,public
5,U1004,18.867,-99.183,cash,Japanese,medium,informal,public
6,U1004,18.867,-99.183,cash,Contemporary,medium,informal,public
7,U1004,18.867,-99.183,cash,Mexican,medium,informal,public
8,U1004,18.867,-99.183,cash,Bagels,medium,informal,public
9,U1004,18.867,-99.183,cash,Cafe-Coffee_Shop,medium,informal,public
10,U1004,18.867,-99.183,cash,Continental-European,medium,informal,public
11,U1004,18.867,-99.183,cash,Cafeteria,medium,informal,public
12,U1004,18.867,-99.183,bank_debit_cards,Bakery,medium,informal,public
13,U1004,18.867,-99.183,bank_debit_cards,Breakfast-Brunch,medium,informal,public
14,U1004,18.867,-99.183,bank_debit_cards,Japanese,medium,informal,public
15,U1004,18.867,-99.183,bank_debit_cards,Contemporary,medium,informal,public
16,U1004,18.867,-99.183,bank_debit_cards,Mexican,medium,informal,public
17,U1004,18.867,-99.183,bank_debit_cards,Bagels,medium,informal,public
18,U1004,18.867,-99.183,bank_debit_cards,Cafe-Coffee_Shop,medium,informal,public
19,U1004,18.867,-99.183,bank_debit_cards,Continental-European,medium,informal,public
20,U1004,18.867,-99.183,bank_debit_cards,Cafeteria,medium,informal,public
21,U1005,22.183477,-100.959891,cash,American,medium,no preference,public
22,U1006,22.15,-100.983,cash,Mexican,medium,no preference,car owner
23,U1007,22.118464,-100.938256,cash,Family,low,informal,public
24,U1008,22.122989,-100.923811,cash,Cafe-Coffee_Shop,low,formal,public
25,U1008,22.122989,-100.923811,cash,Mexican,low,formal,public
26,U1008,22.122989,-100.923811,cash,Juice,low,formal,public
27,U1008,22.122989,-100.923811,cash,Hawaiian,low,formal,public
28,U1008,22.122989,-100.923811,cash,Hot_Dogs,low,formal,public
29,U1008,22.122989,-100.923811,cash,Latin_American,low,formal,public
30,U1008,22.122989,-100.923811,cash,Korean,low,formal,public
31,U1008,22.122989,-100.923811,cash,American,low,formal,public
32,U1008,22.122989,-100.923811,cash,Cafeteria,low,formal,public
33,U1008,22.122989,-100.923811,cash,Italian,low,formal,public
34,U1009,22.159427,-100.990448,cash,Diner,medium,formal,on foot
35,U1009,22.159427,-100.990448,cash,Fast_Food,medium,formal,on foot
36,U1009,22.159427,-100.990448,cash,Family,medium,formal,on foot
37,U1009,22.159427,-100.990448,cash,Cafe-Coffee_Shop,medium,formal,on foot
38,U1009,22.159427,-100.990448,cash,Deli-Sandwiches,medium,formal,on foot
39,U1009,22.159427,-100.990448,cash,Cafeteria,medium,formal,on foot
40,U1009,22.159427,-100.990448,cash,Mexican,medium,formal,on foot
41,U1010,22.190889,-100.998669,cash,Mexican,medium,no preference,car owner
42,U1011,23.724972,-99.152856,cash,Mexican,medium,no preference,public
43,U1012,18.813348,-99.243697,cash,Latin_American,medium,formal,public
44,U1012,18.813348,-99.243697,bank_debit_cards,Latin_American,medium,formal,public
45,U1013,22.174624,-100.993873,MasterCard-Eurocard,Japanese,medium,no preference,public
46,U1013,22.174624,-100.993873,cash,Japanese,medium,no preference,public
47,U1014,23.751607,-99.170108,cash,Japanese,medium,?,public
48,U1014,23.751607,-99.170108,cash,Fast_Food,medium,?,public
49,U1015,22.12676,-100.905209,cash,Mexican,medium,informal,public
50,U1016,22.156247,-100.977402,cash,Cafe-Coffee_Shop,medium,informal,on foot
51,U1016,22.156247,-100.977402,cash,Contemporary,medium,informal,on foot
52,U1016,22.156247,-100.977402,cash,Regional,medium,informal,on foot
53,U1016,22.156247,-100.977402,cash,Fusion,medium,informal,on foot
54,U1016,22.156247,-100.977402,cash,Japanese,medium,informal,on foot
55,U1016,22.156247,-100.977402,cash,Portuguese,medium,informal,on foot
56,U1016,22.156247,-100.977402,cash,American,medium,informal,on foot
57,U1016,22.156247,-100.977402,cash,Indian-Pakistani,medium,informal,on foot
58,U1016,22.156247,-100.977402,cash,Eastern_European,medium,informal,on foot
59,U1016,22.156247,-100.977402,cash,Lebanese,medium,informal,on foot
60,U1016,22.156247,-100.977402,cash,Moroccan,medium,informal,on foot
61,U1016,22.156247,-100.977402,cash,Barbecue,medium,informal,on foot
62,U1016,22.156247,-100.977402,cash,Polynesian,medium,informal,on foot
63,U1016,22.156247,-100.977402,cash,Polish,medium,informal,on foot
64,U1017,18.952615,-99.201616,cash,Chinese,medium,formal,public
65,U1017,18.952615,-99.201616,VISA,Chinese,medium,formal,public
66,U1018,22.190949,-100.917902,cash,Mexican,low,formal,public
67,U1019,22.153385,-100.975294,cash,Family,medium,no preference,public
68,U1020,18.878189,-99.222969,cash,Mexican,medium,no preference,public
69,U1020,18.878189,-99.222969,bank_debit_cards,Mexican,medium,no preference,public
70,U1021,23.730569,-99.171883,cash,Pizzeria,medium,no preference,car owner
71,U1021,23.730569,-99.171883,cash,Regional,medium,no preference,car owner
