,placeID,name,address,latitude,longitude,city,state,country,fax,zip,the_geom_meter,hours,days,Rpayment,Rcuisine,parking_lot,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,other_services,url
0,135109,Paniroles,?,18.9217848,-99.2353499,?,?,?,?,?,0101000020957F0000A6BF695F136F5AC1DADF87B205564A41,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;,cash,Italian,none,Wine-Beer,not permitted,informal,no_accessibility,medium,quiet,f,closed,Internet,?
1,135109,Paniroles,?,18.9217848,-99.2353499,?,?,?,?,?,0101000020957F0000A6BF695F136F5AC1DADF87B205564A41,08:00-21:00;,Sat;,cash,Italian,none,Wine-Beer,not permitted,informal,no_accessibility,medium,quiet,f,closed,Internet,?
2,135109,Paniroles,?,18.9217848,-99.2353499,?,?,?,?,?,0101000020957F0000A6BF695F136F5AC1DADF87B205564A41,08:00-21:00;,Sun;,cash,Italian,none,Wine-Beer,not permitted,informal,no_accessibility,medium,quiet,f,closed,Internet,?
3,135106,El Rincón de San Francisco,Universidad 169,22.1497088,-100.9760928,San Luis Potosi,San Luis Potosi,Mexico,?,78000,0101000020957F0000649D6F21634858C119AE9BF528A34B41,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,cash,Mexican,none,Wine-Beer,only at bar,informal,partially,medium,familiar,f,open,none,?
4,135106,El Rincón de San Francisco,Universidad 169,22.1497088,-100.9760928,San Luis Potosi,San Luis Potosi,Mexico,?,78000,0101000020957F0000649D6F21634858C119AE9BF528A34B41,18:00-23:30;,Sat;,cash,Mexican,none,Wine-Beer,only at bar,informal,partially,medium,familiar,f,open,none,?
5,135106,El Rincón de San Francisco,Universidad 169,22.1497088,-100.9760928,San Luis Potosi,San Luis Potosi,Mexico,?,78000,0101000020957F0000649D6F21634858C119AE9BF528A34B41,18:00-21:00;,Sun;,cash,Mexican,none,Wine-Beer,only at bar,informal,partially,medium,familiar,f,open,none,?
6,135106,El Rincón de San Francisco,Universidad 169,22.1497088,-100.9760928,San Luis Potosi,San Luis Potosi,Mexico,?,78000,0101000020957F0000649D6F21634858C119AE9BF528A34B41,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,VISA,Mexican,none,Wine-Beer,only at bar,informal,partially,medium,familiar,f,open,none,?
7,135106,El Rincón de San Francisco,Universidad 169,22.1497088,-100.9760928,San Luis Potosi,San Luis Potosi,Mexico,?,78000,0101000020957F0000649D6F21634858C119AE9BF528A34B41,18:00-23:30;,Sat;,VISA,Mexican,none,Wine-Beer,only at bar,informal,partially,medium,familiar,f,open,none,?
8,135106,El Rincón de San Francisco,Universidad 169,22.1497088,-100.9760928,San Luis Potosi,San Luis Potosi,Mexico,?,78000,0101000020957F0000649D6F21634858C119AE9BF528A34B41,18:00-21:00;,Sun;,VISA,Mexican,none,Wine-Beer,only at bar,informal,partially,medium,familiar,f,open,none,?
9,135106,El Rincón de San Francisco,Universidad 169,22.1497088,-100.9760928,San Luis Potosi,San Luis Potosi,Mexico,?,78000,0101000020957F0000649D6F21634858C119AE9BF528A34B41,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,MasterCard-Eurocard,Mexican,none,Wine-Beer,only at bar,informal,partially,medium,familiar,f,open,none,?
10,135106,El Rincón de San Francisco,Universidad 169,22.1497088,-100.9760928,San Luis Potosi,San Luis Potosi,Mexico,?,78000,0101000020957F0000649D6F21634858C119AE9BF528A34B41,18:00-23:30;,Sat;,MasterCard-Eurocard,Mexican,none,Wine-Beer,only at bar,informal,partially,medium,familiar,f,open,none,?
